name,v_nom,x,y
Vila_Fria,150,-8.753,41.654
Oleiros,150,-8.497,41.605
Pedralva_150,150,-8.324,41.576
Pedralva_400,400,-8.321,41.578
Frades,150,-8.027,41.687
Fafe,150,-8.202,41.425
Riba_Dave_150,150,-8.388,41.405
Riba_Dave_400,400,-8.392,41.401
Vila_Nova_de_Famalicao,400,-8.613,41.358
Valpacos,220,-7.409,41.677
Vila_Pouca_de_Aguiar,220,-7.622,41.473
Macedo_de_Cavaleiros,220,-6.887,41.501
Mogadouro,220,-6.570,41.338
Pocinho,220,-7.125,41.138
Armamar_400,400,-7.661,41.101
Armamar_220,220,-7.664,41.103
Torrao,220,-8.262,41.094
Carrapatelo,220,-8.129,41.082
Lagoaca_400,400,-6.736,41.218
Lagoaca_220,220,-6.738,41.221
Valdigem_220,220,-7.758,41.138
Valdigem_150,150,-7.758,41.140
Vermoim_400,400,-8.605,41.232
Vermoim_220,220,-8.605,41.229
Custoias,220,-8.648,41.199
Prelada,220,-8.625,41.172
Ermesinde,220,-8.555,41.204
Recarei_400,400,-8.452,41.158
Recarei_220,220,-8.456,41.156
Canelas,220,-8.610,41.069
Feira,400,-8.460,40.960
Estarreja,220,-8.555,40.786
Mourisca,220,-8.463,40.596
Bodiosa,400,-7.993,40.702
Chafariz,220,-7.418,40.633
Vila_Cha,220,-7.739,40.448
Paraimo_400,400,-8.481,40.470
Paraimo_220,220,-8.478,40.467
Tabua,220,-8.013,40.332
Ferro,220,-7.477,40.234
Fundao_400,400,-7.456,40.178
Fundao_220,220,-7.456,40.175
Pereiros,220,-8.420,40.165
Lavos,400,-8.837,40.058
Penela,220,-8.391,39.973
Pombal,220,-8.635,39.919
Batalha,400,-8.790,39.651
Zezere_220,220,-8.327,39.544
Zezere_150,150,-8.328,39.546
Castelo_Branco_220,220,-7.552,39.827
Castelo_Branco_150,150,-7.554,39.829
Falagueira_400,400,-7.740,39.527
Falagueira_150,150,-7.742,39.529
Rio_Maior_400,400,-8.999,39.341
Rio_Maior_220,220,-9.004,39.336
Santarem,220,-8.728,39.246
Carvoeira,220,-9.198,39.079
Estremoz,400,-7.529,38.890
Carregado,220,-8.958,39.013
Fanhoes_400,400,-9.136,38.890
Fanhoes_220,220,-9.139,38.887
Sacavem,220,-9.103,38.785
Carriche,220,-9.166,38.780
Sete_Rios,220,-9.170,38.739
Zambujal,220,-9.213,38.721
Alto_de_Mira_400,400,-9.238,38.779
Alto_de_Mira_220,220,-9.240,38.777
Trajouce,220,-9.331,38.747
Alto_de_Sao_Joao,220,-9.124,38.732
Porto_Alto,150,-8.880,38.898
Palmela_150,150,-8.857,38.571
Palmela_400,400,-8.860,38.575
Alcochete,400,-8.899,38.702
Setubal,150,-8.862,38.536
Fernao_Ferro_400,400,-9.120,38.583
Fernao_Ferro_150,150,-9.121,38.581
Trafaria,150,-9.223,38.665
Divor,400,-7.921,38.634
Evora,150,-7.882,38.555
Alqueva,400,-7.498,38.186
Ferreira_do_Alentejo_400,400,-8.128,38.056
Ferreira_do_Alentejo_150,150,-8.126,38.055
Sines_150,150,-8.761,37.997
Sines_400,400,-8.767,37.999
Ourique,150,-8.190,37.667
Portimao_400,400,-8.514,37.198
Portimao_150,150,-8.518,37.199
Tunes,150,-8.263,37.165
