bus,name,p_set,q_set,p_%,q/p
Pegoes_150,Pegoes_RFN,0.300000000000000,-0.500000000000000,0.00004245,-1.6667
Vila_Fria,Vila_Fria,74.900000000000006,30.800000000000001,0.01059811,0.4112
Oleiros,Oleiros,256.800000000000011,40.100000000000001,0.03633637,0.1562
Pedralva_150,Pedralva,27.399999999999999,0.600000000000000,0.00387701,0.0219
Frades,Frades,-8.000000000000000,1.000000000000000,-0.00113197,-0.1250
Fafe,Fafe,142.199999999999989,19.800000000000001,0.02012084,0.1392
Riba_Dave_150,Riba_Dave,362.300000000000011,76.799999999999997,0.05126427,0.2120
Central_de_Sines,Refinaria_de_Sines,41.299999999999997,8.500000000000000,0.00584382,0.2058
Vila_Nova_de_Famalicao,Vila_Nova_de_Famalicao,0.000000000000000,0.000000000000000,0.00000000,0.0000
Valpacos,Valpacos,11.100000000000000,2.500000000000000,0.00157061,0.2252
Vila_Pouca_de_Aguiar,Vila_Pouca_de_Aguiar,-28.500000000000000,0.000000000000000,-0.00403266,0.0000
Macedo_de_Cavaleiros,Macedo_de_Cavaleiros,22.500000000000000,-2.400000000000000,0.00318368,-0.1067
Mogadouro,Mogadouro,11.600000000000000,0.200000000000000,0.00164136,0.0172
Pocinho,Pocinho,-3.300000000000000,-0.600000000000000,-0.00046694,0.1818
Torrao,Torrao,89.400000000000006,7.200000000000000,0.01264981,0.0805
Carrapatelo,Carrapatelo,23.600000000000001,0.300000000000000,0.00333932,0.0127
Valdigem_150,Valdigem,44.399999999999999,2.600000000000000,0.00628246,0.0586
Vermoim_220,Vermoim,311.000000000000000,74.799999999999997,0.04400549,0.2405
Custoias,Custoias,169.000000000000000,1.000000000000000,0.02391295,0.0059
Prelada,Prelada,129.300000000000011,7.300000000000000,0.01829553,0.0565
Ermesinde,Ermesinde,234.300000000000011,27.100000000000001,0.03315269,0.1157
Recarei_220,Recarei,165.699999999999989,23.399999999999999,0.02344601,0.1412
Canelas,Canelas,278.399999999999977,40.899999999999999,0.03939270,0.1469
Feira,Feira,160.000000000000000,23.699999999999999,0.02263948,0.1481
Estarreja,Estarreja,252.599999999999994,58.799999999999997,0.03574208,0.2328
Mourisca,Mourisca,154.400000000000006,34.799999999999997,0.02184710,0.2254
Bodiosa,Bodiosa,42.600000000000001,-2.900000000000000,0.00602776,-0.0681
Chafariz,Chafariz,1.600000000000000,3.800000000000000,0.00022639,2.3750
Vila_Cha,Vila_Cha,36.500000000000000,18.199999999999999,0.00516463,0.4986
Paraimo_220,Paraimo,48.000000000000000,9.800000000000001,0.00679184,0.2042
Tabua,Tabua,20.000000000000000,5.400000000000000,0.00282994,0.2700
Ferro,Ferro,30.600000000000001,10.199999999999999,0.00432980,0.3333
Pereiros,Pereiros,150.800000000000011,14.100000000000000,0.02133771,0.0935
Lavos,Lavos,11.199999999999999,7.200000000000000,0.00158476,0.6429
Penela,Penela,-81.599999999999994,3.600000000000000,-0.01154614,-0.0441
Pombal,Pombal,0.000000000000000,0.000000000000000,0.00000000,0.0000
Batalha,Batalha,213.699999999999989,37.000000000000000,0.03023786,0.1731
Zezere_150,Zezere,148.000000000000000,16.399999999999999,0.02094152,0.1108
Castelo_Branco_150,Castelo_Branco,49.700000000000003,2.500000000000000,0.00703239,0.0503
Falagueira_150,Falagueira,-32.600000000000001,-1.200000000000000,-0.00461279,0.0368
Rio_Maior_220,Rio_Maior,10.500000000000000,17.500000000000000,0.00148572,1.6667
Santarem,Santarem,108.900000000000006,9.100000000000000,0.01540900,0.0836
Carvoeira,Carvoeira,-8.000000000000000,4.200000000000000,-0.00113197,-0.5250
Estremoz,Estremoz,65.000000000000000,3.900000000000000,0.00919729,0.0600
Carregado,Carregado,156.699999999999989,21.800000000000001,0.02217254,0.1391
Fanhoes_220,Fanhoes,117.099999999999994,20.199999999999999,0.01656927,0.1725
Sacavem,Sacavem,183.900000000000006,14.199999999999999,0.02602125,0.0772
Carriche,Carriche,257.800000000000011,21.699999999999999,0.03647786,0.0842
Sete_Rios,Sete_Rios,185.800000000000011,10.400000000000000,0.02629010,0.0560
Zambujal,Zambujal,149.199999999999989,9.199999999999999,0.02111132,0.0617
Alto_de_Mira_220,Alto_de_Mira,335.199999999999989,35.000000000000000,0.04742971,0.1044
Trajouce,Trajouce,265.699999999999989,28.300000000000001,0.03759569,0.1065
Alto_de_Sao_Joao,Alto_de_Sao_Joao,92.700000000000003,1.200000000000000,0.01311675,0.0129
Porto_Alto,Porto_Alto,64.700000000000003,-0.600000000000000,0.00915484,-0.0093
Alcochete,Alcochete,94.299999999999997,9.300000000000001,0.01334314,0.0986
Setubal,Setubal,197.599999999999994,19.199999999999999,0.02795976,0.0972
Fernao_Ferro_150,Fernao_Ferro,233.099999999999994,13.300000000000001,0.03298289,0.0571
Trafaria,Trafaria,136.199999999999989,14.199999999999999,0.01927186,0.1043
Divor,Divor,7.100000000000000,-0.400000000000000,0.00100463,-0.0563
Evora,Evora,102.700000000000003,7.300000000000000,0.01453172,0.0711
Alqueva,Alqueva,35.200000000000003,-5.400000000000000,0.00498069,-0.1534
Ferreira_do_Alentejo_150,Ferreira_do_Alentejo,73.500000000000000,1.000000000000000,0.01040001,0.0136
Sines_150,Sines,85.900000000000006,-2.000000000000000,0.01215457,-0.0233
Ourique,Ourique,12.300000000000001,0.600000000000000,0.00174041,0.0488
Portimao_150,Portimao,97.200000000000003,0.700000000000000,0.01375348,0.0072
Tunes,Tunes,154.500000000000000,5.900000000000000,0.02186125,0.0382
Estoi,Estoi,179.800000000000011,14.800000000000001,0.02544112,0.0823
Tavira_150,Tavira,-1.400000000000000,1.900000000000000,-0.00019810,-1.3571
Seixal,Siderurgia_Nacional_Seixal,33.399999999999999,17.000000000000000,0.00472599,0.5090
Urro,Urro_IRIVO_RFN,0.700000000000000,-0.200000000000000,0.00009905,-0.2857
Fatela,Fatela_RFN,0.500000000000000,-0.900000000000000,0.00007075,-1.8000
Neves_Corvo,Neves_Corvo,37.000000000000000,7.200000000000000,0.00523538,0.1946
Ermidas_Sado,Ermidas_Sado_RFN,1.200000000000000,0.000000000000000,0.00016980,0.0000
Luzianes,Luzianes_RFN,0.400000000000000,-0.100000000000000,0.00005660,-0.2500
Repsol,Repsol_Sines,0.000000000000000,0.000000000000000,0.00000000,0.0000
Artland_Sines,Artland_Sines,0.600000000000000,-2.500000000000000,0.00008490,-4.1667
Monte_da_Pedra,Monte_da_Pedra_RFN,0.000000000000000,-0.300000000000000,0.00000000,0.0000
Quinta_do_Anjo,Quinta_do_Anjo,16.500000000000000,3.200000000000000,0.00233470,0.1939
Fogueteiro,Fogueteiro_RFN,5.400000000000000,2.000000000000000,0.00076408,0.3704
Mortagua,Mortagua_RFN,0.000000000000000,0.000000000000000,0.00000000,0.0000
Sobral,Sobral_da_Serra_RFN,0.000000000000000,0.000000000000000,0.00000000,0.0000
Gouveia,Gouveia_RFN,0.000000000000000,0.000000000000000,0.00000000,0.0000
Siderurgia_da_Maia,Siderurgia_da_Maia,5.500000000000000,1.400000000000000,0.00077823,0.2545
Rodao,Rodao_RFN,1.000000000000000,-0.100000000000000,0.00014150,-0.1000
Lusosider,Lusosider,2.800000000000000,-4.200000000000000,0.00039619,-1.5000
Quinta_Grande,Quinta_Grande_RFN,0.500000000000000,-0.100000000000000,0.00007075,-0.2000
Vila_Fria_RFN,Vila_Fria_RFN,0.600000000000000,-0.400000000000000,0.00008490,-0.6667
Sakthi,Sakthi_AAPICO_Maia,6.800000000000000,-0.300000000000000,0.00096218,-0.0441
