name,bus,vnom,P_total,control,Carrier,Q_total
Agueda_PV,Mourisca,220,28.500,PQ,solar,0.000
Albergaria-a-Velha_HYD,Estarreja,220,2.800,PQ,hydro,1.261
Anadia_FO,Paraimo_220,220,1.400,PQ,fossil,0.763
Arouca_HYD,Feira,400,3.500,PQ,hydro,1.576
Central_de_Cogeracao_de_Cacia_FO,Estarreja,220,2.500,PQ,fossil,1.363
Castelo_de_Paiva_PV,Torrao,220,3.100,PQ,solar,0.000
Espinho_BM,Canelas,220,0.800,PQ,biomass,0.000
Estarreja_PV,Estarreja,220,13.600,PQ,solar,0.000
Santa_Maria_da_Feira_BM,Feira,400,5.100,PQ,biomass,0.000
Ilhavo_BM,Mourisca,220,0.900,PQ,biomass,0.000
Mealhada_PV,Paraimo_220,220,8.800,PQ,solar,0.000
Murtosa_PV,Estarreja,220,1.700,PQ,solar,0.000
Oliveira_de_Azemeis_PV,Estarreja,220,33.700,PQ,solar,0.000
Oliveira_do_Bairro_FO,Paraimo_400,400,6.400,PQ,fossil,3.489
Ovar_FO,Estarreja,220,5.100,PQ,fossil,2.781
Sao_Joao_da_Madeira_PV,Feira,400,7.000,PQ,solar,0.000
Sever_do_Vouga_EOLICA,Estarreja,220,0.800,PQ,wind,0.000
Vagos_PV,Paraimo_220,220,9.700,PQ,solar,0.000
Vale_de_Cambra_PV,Estarreja,220,7.900,PQ,solar,0.000
Aljustrel_HYD,Ferreira_do_Alentejo_150,150,1.600,PQ,hydro,0.720
Almodovar_EOLICA,Neves_Corvo,150,30.400,PQ,wind,0.000
Alvito_HYD,Ferreira_do_Alentejo_150,150,2.500,PQ,hydro,1.126
Barrancos_PV,BROVALES_ESP,400,0.300,PQ,solar,0.000
Beja_HYD,Ferreira_do_Alentejo_150,150,0.700,PQ,hydro,0.315
Castro_Verde_PV,Ourique,150,1.500,PQ,solar,0.000
Cuba_HYD,Ferreira_do_Alentejo_150,150,3.400,PQ,hydro,1.531
Central_Solar_e_Fotovoltaica_Ferreira_Alentejo_PV,Ferreira_do_Alentejo_150,150,83.300,PQ,solar,0.000
Mertola_PV,Tavira_150,150,5.200,PQ,solar,0.000
Moura_PV,Alqueva,400,110.900,PQ,solar,0.000
Odemira_HYD,Luzianes,150,1.400,PQ,hydro,0.630
Central_Solar_Fotovoltaica_Ourika_PV,Ourique,150,89.200,PQ,solar,0.000
Central_Solar_Insua_PV,Ferreira_do_Alentejo_150,150,68.100,PQ,solar,0.000
Vidigueira_PV,Ferreira_do_Alentejo_150,150,2.700,PQ,solar,0.000
Amares_PV,Pedralva_400,400,4.900,PQ,solar,0.000
Barcelos_HYD,Oleiros,150,4.900,PQ,hydro,2.206
Braga_FO,Pedralva_150,150,6.300,PQ,fossil,3.435
Cabeceiras_de_Basto_HYD,Daivoes,400,2.400,PQ,hydro,1.081
Celorico_de_Basto_HYD,Terras_Altas_de_Fafe,150,2.200,PQ,hydro,0.991
Esposende_PV,Vila_Fria,150,7.400,PQ,solar,0.000
Fafe_HYD,Fafe,150,1.200,PQ,hydro,0.540
Guimaraes_HYD,Riba_Dave_150,150,4.800,PQ,hydro,2.161
Povoa_de_Lanhoso_BM,Canicada,150,3.200,PQ,biomass,0.000
Terras_de_Bouro_PV,Pedralva_150,150,0.800,PQ,solar,0.000
Vila_Nova_de_Famalicao_HYD,Riba_Dave_150,150,2.200,PQ,hydro,0.991
Vila_Verde_PV,Oleiros,150,10.600,PQ,solar,0.000
Vizela_PV,Riba_Dave_150,150,5.900,PQ,solar,0.000
Alfandega_da_Fe_PV,Central_do_Baixo_Sabor,220,1.000,PQ,solar,0.000
Braganca_HYD,Macedo_de_Cavaleiros,220,3.600,PQ,hydro,1.621
Central_Hidroeletrica_da_Valeira_HYD,Valeira,220,216.000,PV,hydro,97.265
Freixo_de_Espada_Cinta_PV,SAUCELLE_ESP,220,1.300,PQ,solar,0.000
Parque_Eolico_de_Bornes_EOLICA,Macedo_de_Cavaleiros,220,72.000,PQ,wind,0.000
Mirandela_HYD,Macedo_de_Cavaleiros,220,1.000,PQ,hydro,0.450
Mogadouro_EOLICA,Mogadouro,220,4.000,PQ,wind,0.000
Torre_de_Moncorvo_EOLICA,Pocinho,220,7.600,PQ,wind,0.000
Vila_Flor_PV,Central_do_Baixo_Sabor,220,3.000,PQ,solar,0.000
Vimioso_PV,Miranda,220,1.100,PQ,solar,0.000
Vinhais_PV,Valpacos,220,1.200,PQ,solar,0.000
Parque_Eolico_de_Penamacor_EOLICA,Senhora_da_Povoa,220,134.400,PQ,wind,0.000
Castelo_Branco_EOLICA,Castelo_Branco_220,220,8.000,PQ,wind,0.000
Covilha_Eolica_HYD,Ferro,220,7.300,PQ,hydro,3.287
Fundao_HYD,Fatela,220,10.000,PQ,hydro,4.503
Idanha-a-Nova_HYD,Nave_da_Mata,220,2.500,PQ,hydro,1.126
Parque_Eolico_Pinhal_Interior_EOLICA,Corgas,150,223.600,PQ,wind,0.000
Parque_Eolico_Penamacor_EOLICA,Penamacor,220,143.800,PQ,wind,0.000
Proenca-a-Nova_EOLICA,Corgas,150,12.000,PQ,wind,0.000
Serta_PV,Zezere_150,150,6.500,PQ,solar,0.000
Vila_de_Rei_PV,Bouca,150,1.600,PQ,solar,0.000
Vila_Velha_de_Rodao_PV,Rodao,150,9.900,PQ,solar,0.000
Parque_Eolico_das_Beiras_EOLICA,Folques,220,197.500,PQ,wind,0.000
Cantanhede_PV,Paraimo_220,220,31.300,PQ,solar,0.000
Coimbra_BM,Pereiros,220,6.600,PQ,biomass,0.000
Condeixa-a-Nova_PV,Pereiros,220,6.000,PQ,solar,0.000
Central_Ciclo_Combinado_de_Lares_FO,Central_de_Lares,400,973.900,PV,fossil,530.970
Gois_HYD,Pampilhosa_da_Serra_Tabua_ramal,220,0.500,PQ,hydro,0.225
Lousa_HYD,Pereiros,220,0.400,PQ,hydro,0.180
Mira_PV,Paraimo_400,400,9.700,PQ,solar,0.000
Miranda_do_Corvo_PV,Penela,220,1.700,PQ,solar,0.000
Montemor-o-Velho_PV,Pereiros,220,12.700,PQ,solar,0.000
Oliveira _do_Hospital_HYD,Tabua,220,1.500,PQ,hydro,0.675
Parque_Eolico_Pampilhosa_da_Serra_EOLICA,Pampilhosa_da_Serra,220,118.000,PQ,wind,0.000
Parque_Eolico_Penacova_EOLICA,Paraimo_220,220,46.800,PQ,wind,0.000
Penela_PV,Penela,220,23.100,PQ,solar,0.000
Parque_Fotovoltaico_Quinta_da_Cruz_PV,Lavos,400,40.800,PQ,solar,0.000
Tabua_HYD,Tabua,220,0.800,PQ,hydro,0.360
Vila_Nova_de_Poiares_PV,Pereiros,220,2.400,PQ,solar,0.000
Alandroal_PV,Estremoz,400,42.400,PQ,solar,0.000
Arraiolos_PV,Divor,400,21.800,PQ,solar,0.000
Borba_PV,Estremoz,400,24.200,PQ,solar,0.000
Estremoz_PV,Estremoz,400,29.100,PQ,solar,0.000
Central_Fotovoltaica_Evora_PV,Evora,150,70.100,PQ,solar,0.000
Montemor-o-Novo_PV,Pegoes_150,150,31.700,PQ,solar,0.000
Mora_HYD,Divor,400,1.200,PQ,hydro,0.540
Mourao_PV,Alqueva,400,1.300,PQ,solar,0.000
Portel_PV,Central_do_Alqueva,400,2.100,PQ,solar,0.000
Redondo_PV,Evora,150,1.800,PQ,solar,0.000
Reguengos_de_Monsaraz_PV,Central_do_Alqueva,400,5.800,PQ,solar,0.000
Vendas_Novas_PV,Pegoes_150,150,14.000,PQ,solar,0.000
Viana_do_Alentejo_PV,Evora,150,2.300,PQ,solar,0.000
Vila_Vicosa_PV,Santas,400,2.900,PQ,solar,0.000
Albufeira_PV,Tunes,150,66.600,PQ,solar,0.000
Alcoutim_PV,Vicoso,150,332.200,PQ,solar,0.000
Aljezur_EOLICA,Portimao_150,150,56.200,PQ,wind,0.000
Castro_Marim_PV,Alcoutim,400,2.800,PQ,solar,0.000
Faro_PV,Estoi,150,25.900,PQ,solar,0.000
Lagoa_PV,Morgado_de_Arge,150,8.200,PQ,solar,0.000
Parque_Eolico_Barao_de_Sao_Joao_EOLICA,Portimao_150,150,68.400,PQ,wind,0.000
Loule_BM,Tunes,150,1.200,PQ,biomass,0.000
Monchique_EOLICA,Portimao_150,150,10.000,PQ,wind,0.000
