bus0,bus1,length,x,r,v_nom,name,s_nom_inv,s_nom_prim,s_nom_ver,s_nom_out
Alcochete,Fanhoes_400,53.600000,0.011100,0.000980,400,Alcochete-Fanhoes_400-400-0,1386,1386,1386,1386
Alcochete,Palmela_400,15.900000,0.003080,0.000280,400,Alcochete-Palmela_400-400-1,1386,1386,1386,1386
Fanhoes_400,Alto_de_Mira_400,18.300000,0.003370,0.000330,400,Fanhoes_400-Alto_de_Mira_400-400-2,1386,1386,1386,1386
Fanhoes_400,Pegoes_400,82.800000,0.015560,0.001500,400,Fanhoes_400-Pegoes_400-400-3,1386,1386,1386,1386
Fanhoes_400,Ribatejo,24.600000,0.004790,0.000450,400,Fanhoes_400-Ribatejo-400-4,1386,1386,1386,1386
Fernao_Ferro_400,Ribatejo,83.900000,0.016880,0.001540,400,Fernao_Ferro_400-Ribatejo-400-5,1386,1386,1321,1386
Batalha,Ribatejo,80.900000,0.016820,0.001480,400,Batalha-Ribatejo-400-6,1386,1386,1363,1386
Pego,Rio_Maior_400,81.200000,0.016700,0.001500,400,Pego-Rio_Maior_400-400-7,1386,1386,1386,1386
Lavos,Rio_Maior_400,86.300000,0.018010,0.001560,400,Lavos-Rio_Maior_400-400-8,1386,1386,1386,1386
Palmela_400,Fernao_Ferro_400,28.900000,0.005450,0.000520,400,Palmela_400-Fernao_Ferro_400-400-9,1386,1386,1321,1386
Palmela_400,Pegoes_400,33.400000,0.006750,0.000620,400,Palmela_400-Pegoes_400-400-10,1857,1711,1598,1786
Palmela_400,Sines_400,96.000000,0.020100,0.001800,400,Palmela_400-Sines_400-400-11,1386,1386,1386,1386
Divor,Pegoes_400,69.100000,0.013970,0.001270,400,Divor-Pegoes_400-400-12,1857,1711,1546,1786
Pegoes_400,Sines_400,86.800000,0.017950,0.001620,400,Pegoes_400-Sines_400-400-13,1386,1386,1386,1386
Estremoz,Divor,51.900000,0.010240,0.000930,400,Estremoz-Divor-400-14,1386,1386,1386,1386
Falagueira_400,Estremoz,88.200000,0.017850,0.001630,400,Falagueira_400-Estremoz-400-15,1386,1386,1386,1386
Pego,Falagueira_400,40.900000,0.008540,0.000720,400,Pego-Falagueira_400-400-16,1386,1386,1386,1386
Batalha,Pego,65.900000,0.013590,0.001450,400,Batalha-Pego-400-17,1386,1386,1386,1386
Falagueira_400,CEDILLO_ESP,25.700000,0.005440,0.000520,400,Falagueira_400-CEDILLO_ESP-400-18,1386,1386,1386,1386
Ferreira_do_Alentejo_400,Sines_400,59.400000,0.012380,0.001100,400,Ferreira_do_Alentejo_400-Sines_400-400-19,1386,1386,1361,1386
Alqueva,Ferreira_do_Alentejo_400,64.100000,0.013190,0.001210,400,Alqueva-Ferreira_do_Alentejo_400-400-20,1386,1386,1361,1386
Sines_400,Portimao_400,97.800000,0.019800,0.001880,400,Sines_400-Portimao_400-400-21,1386,1386,1386,1386
Portimao_400,Tavira_400,81.300000,0.015580,0.001480,400,Portimao_400-Tavira_400-400-22,1386,1386,1386,1386
