name,s_nom,bus0,bus1,model,R,X
Alto_de_Mira_AT4,450,Alto_de_Mira_400,Alto_de_Mira_220,t,0.0016,0.1191
Alto_de_Mira_AT5,450,Alto_de_Mira_400,Alto_de_Mira_220,t,0.0015,0.1602
Armamar_AT1,450,Armamar_400,Armamar_220,t,0.0016,0.1594
Castelo_Branco_AT1,250,Castelo_Branco_220,Castelo_Branco_150,t,0.0012,0.101
Castelo_Branco_AT2,250,Castelo_Branco_220,Castelo_Branco_150,t,0.0017,0.1012
Ferreira_do_Alentejo_AT4,250,Ferreira_do_Alentejo_400,Ferreira_do_Alentejo_150,t,0.0022,0.1197
Ferreira_do_Alentejo_AT5,250,Ferreira_do_Alentejo_400,Ferreira_do_Alentejo_150,t,0.0022,0.1193
Fundao_AT1,450,Fundao_400,Fundao_220,t,0.0022,0.1631
Fundao_AT2,450,Fundao_400,Fundao_220,t,0.0019,0.1581
Falagueira_ATD4,450,Falagueira_400,Falagueira_150,t,0.0019,0.189
Falagueira_ATD5,450,Falagueira_400,Falagueira_150,t,0.0019,0.185
Fanhoes_AT4,450,Fanhoes_400,Fanhoes_220,t,0.0016,0.1594
Fanhoes_AT5,450,Fanhoes_400,Fanhoes_220,t,0.0018,0.1175
Fanhoes_AT6,450,Fanhoes_400,Fanhoes_220,t,0.0019,0.1578
Fernao_Ferro_AT5,450,Fernao_Ferro_400,Fernao_Ferro_150,t,0.0019,0.1239
Lagoaca_AT1,450,Lagoaca_400,Lagoaca_220,t,0.0016,0.1615
Lagoaca_AT2,450,Lagoaca_400,Lagoaca_220,t,0.0016,0.1594
Lagoaca_AT3,450,Lagoaca_400,Lagoaca_220,t,0.0016,0.1619
Palmela_AT2,450,Palmela_400,Palmela_150,t,0.0019,0.1277
Palmela_AT3,450,Palmela_400,Palmela_150,t,0.002,0.1278
Paraimo_AT3,450,Paraimo_400,Paraimo_220,t,0.0016,0.1586
Pedralva_ATD1,450,Pedralva_400,Pedralva_150,t,0.0019,0.185
Pedralva_ATD2,450,Pedralva_400,Pedralva_150,t,0.0019,0.185
Portimao_AT4,450,Portimao_400,Portimao_150,t,0.0019,0.157
Recarei_AT1,450,Recarei_400,Recarei_220,t,0.0017,0.1172
Recarei_AT2,450,Recarei_400,Recarei_220,t,0.0016,0.1181
Riba_Dave_AT1,360,Riba_Dave_400,Riba_Dave_150,t,0.0022,0.1605
Riba_Dave_AT2,360,Riba_Dave_400,Riba_Dave_150,t,0.0022,0.1605
Rio_Maior_AT2,450,Rio_Maior_400,Rio_Maior_220,t,0.0019,0.1247
Rio_Maior_AT3,450,Rio_Maior_400,Rio_Maior_220,t,0.0019,0.1257
Sines_AT5,360,Sines_400,Sines_150,t,0.002,0.1243
Sines_AT6,360,Sines_400,Sines_150,t,0.002,0.1225
Tavira_AT4,450,Tavira_400,Tavira_150,t,0.002,0.1565
Tavira_AT5,450,Tavira_400,Tavira_150,t,0.0034,0.156
Valdigem_AT4,80,Valdigem_220,Valdigem_150,t,0.0017,0.0704
Vermoim_AT2,450,Vermoim_400,Vermoim_220,t,0.0017,0.1599
Vermoim_AT3,450,Vermoim_400,Vermoim_220,t,0.0016,0.1607
Zezere_AT1,250,Zezere_220,Zezere_150,t,0.0017,0.1
