data,preco_gas_eur_mwh,origem
2024-01-01,30.3,ES
2024-01-02,30.96,ES
2024-01-03,30.75,ES
2024-01-04,31.59,ES
2024-01-05,32.4,ES
2024-01-06,33.05,ES
2024-01-07,34.79,ES
2024-01-08,36.82,ES
2024-01-09,33.08,PT
2024-01-10,31.16,ES
2024-01-11,30.68,ES
2024-01-12,30.97,PT
2024-01-13,30.68,ES
2024-01-14,32.36,ES
2024-01-15,32.49,ES
2024-01-16,29.69,PT
2024-01-17,29.38,PT
2024-01-18,27.9,PT
2024-01-19,26.69,PT
2024-01-20,27.86,ES
2024-01-21,28.39,ES
2024-01-22,27.9,ES
2024-01-23,26.25,PT
2024-01-24,26.98,PT
2024-01-25,27.52,ES
2024-01-26,27.01,PT
2024-01-27,26.68,ES
2024-01-28,27.36,ES
2024-01-29,27.73,ES
2024-01-30,27.64,PT
2024-01-31,28.1,PT
2024-02-01,28.82,PT
2024-02-02,28.23,PT
2024-02-03,27.93,ES
2024-02-04,28.54,ES
2024-02-05,29.45,ES
2024-02-06,27.84,PT
2024-02-07,27.53,PT
2024-02-08,27.41,ES
2024-02-09,26.91,PT
2024-02-10,26.43,ES
2024-02-11,26.16,ES
2024-02-12,25.96,ES
2024-02-13,25.65,PT
2024-02-14,25.29,ES
2024-02-15,24.02,PT
2024-02-16,24.12,PT
2024-02-17,24.38,ES
2024-02-18,24.99,ES
2024-02-19,24.42,ES
2024-02-20,23.15,PT
2024-02-21,23.6,PT
2024-02-22,24.04,PT
2024-02-23,23.78,PT
2024-02-24,22.42,PT
2024-02-25,23.57,ES
2024-02-26,23.49,ES
2024-02-27,23.33,PT
2024-02-28,23.83,PT
2024-02-29,25.43,PT
2024-03-01,24.48,PT
2024-03-02,25.11,ES
2024-03-03,25.04,ES
2024-03-04,25.14,ES
2024-03-05,25.01,PT
2024-03-06,27.37,PT
2024-03-07,27.76,PT
2024-03-08,25.95,PT
2024-03-09,26.23,ES
2024-03-10,26.94,ES
2024-03-11,27.11,ES
2024-03-12,25.61,PT
2024-03-13,24.54,PT
2024-03-14,24.83,PT
2024-03-15,25.07,PT
2024-03-16,26.63,ES
2024-03-17,27.85,ES
2024-03-18,27.99,ES
2024-03-19,28.23,PT
2024-03-20,28.4,PT
2024-03-21,27.92,PT
2024-03-22,27.2,PT
2024-03-23,26.93,ES
2024-03-24,27.48,ES
2024-03-25,27.28,ES
2024-03-26,28.38,PT
2024-03-27,27.68,PT
2024-03-28,27.66,PT
2024-03-29,27.82,PT
2024-03-30,27.67,ES
2024-03-31,28.2,ES
2024-04-01,28.98,ES
2024-04-02,30.37,ES
2024-04-03,27.31,PT
2024-04-04,26.08,PT
2024-04-05,26.3,PT
2024-04-06,26.78,ES
2024-04-07,27.31,ES
2024-04-08,27.54,ES
2024-04-09,26.77,PT
2024-04-10,27.75,PT
2024-04-11,27.47,PT
2024-04-12,29.15,PT
2024-04-13,30.68,ES
2024-04-14,30.15,ES
2024-04-15,31.03,ES
2024-04-16,30.24,PT
2024-04-17,32.24,PT
2024-04-18,31.46,PT
2024-04-19,31.32,PT
2024-04-20,31.83,ES
2024-04-21,30.41,ES
2024-04-22,30.64,ES
2024-04-23,29.68,PT
2024-04-24,29.14,PT
2024-04-25,28.57,PT
2024-04-26,30.01,ES
2024-04-27,29.84,ES
2024-04-28,29.97,ES
2024-04-29,30.0,ES
2024-04-30,28.34,PT
2024-05-01,28.92,PT
2024-05-02,28.56,PT
2024-05-03,30.2,PT
2024-05-04,31.07,ES
2024-05-05,29.7,ES
2024-05-06,30.4,PT
2024-05-07,31.75,ES
2024-05-08,31.05,PT
2024-05-09,30.39,PT
2024-05-10,30.69,PT
2024-05-11,30.95,ES
2024-05-12,30.14,ES
2024-05-13,30.24,ES
2024-05-14,29.51,PT
2024-05-15,29.45,PT
2024-05-16,30.21,PT
2024-05-17,30.6,PT
2024-05-18,30.98,ES
2024-05-19,31.73,ES
2024-05-20,31.73,ES
2024-05-21,32.42,PT
2024-05-22,32.7,PT
2024-05-23,33.77,PT
2024-05-24,35.21,PT
2024-05-25,34.97,ES
2024-05-26,34.72,ES
2024-05-27,34.36,ES
2024-05-28,35.12,ES
2024-05-29,34.38,PT
2024-05-30,34.19,PT
2024-05-31,34.84,ES
2024-06-01,35.42,ES
2024-06-02,34.2,ES
2024-06-03,34.62,ES
2024-06-04,36.83,PT
2024-06-05,35.39,PT
2024-06-06,34.18,PT
2024-06-07,33.99,ES
2024-06-08,33.69,ES
2024-06-09,33.72,ES
2024-06-10,34.11,ES
2024-06-11,33.79,ES
2024-06-12,34.6,PT
2024-06-13,34.87,PT
2024-06-14,36.17,ES
2024-06-15,35.53,ES
2024-06-16,34.42,ES
2024-06-17,34.73,ES
2024-06-18,34.69,PT
2024-06-19,34.46,PT
2024-06-20,34.76,PT
2024-06-21,35.28,PT
2024-06-22,34.53,ES
2024-06-23,34.38,ES
2024-06-24,34.43,ES
2024-06-25,33.78,PT
2024-06-26,34.61,PT
2024-06-27,35.2,PT
2024-06-28,34.35,PT
2024-06-29,33.96,ES
2024-06-30,34.79,ES
2024-07-01,34.36,ES
2024-07-02,34.18,PT
2024-07-03,33.11,PT
2024-07-04,32.57,PT
2024-07-05,32.47,PT
2024-07-06,33.1,ES
2024-07-07,32.8,ES
2024-07-08,32.37,ES
2024-07-09,32.24,PT
2024-07-10,31.09,PT
2024-07-11,31.03,PT
2024-07-12,30.4,PT
2024-07-13,30.97,ES
2024-07-14,31.66,ES
2024-07-15,31.59,ES
2024-07-16,31.11,PT
2024-07-17,31.8,PT
2024-07-18,32.53,PT
2024-07-19,32.05,PT
2024-07-20,32.38,ES
2024-07-21,31.03,ES
2024-07-22,31.61,ES
2024-07-23,31.35,PT
2024-07-24,31.78,PT
2024-07-25,32.53,PT
2024-07-26,32.75,PT
2024-07-27,33.28,ES
2024-07-28,33.04,ES
2024-07-29,33.67,ES
2024-07-30,34.47,PT
2024-07-31,34.67,PT
2024-08-01,36.52,PT
2024-08-02,37.12,PT
2024-08-03,37.14,ES
2024-08-04,36.91,ES
2024-08-05,38.03,ES
2024-08-06,36.5,PT
2024-08-07,36.78,PT
2024-08-08,36.0,PT
2024-08-09,38.81,PT
2024-08-10,39.8,ES
2024-08-11,39.54,ES
2024-08-12,40.35,ES
2024-08-13,40.7,PT
2024-08-14,39.26,PT
2024-08-15,39.25,PT
2024-08-16,39.04,ES
2024-08-17,39.14,ES
2024-08-18,39.69,ES
2024-08-19,39.78,ES
2024-08-20,40.05,PT
2024-08-21,39.61,PT
2024-08-22,38.17,PT
2024-08-23,37.32,PT
2024-08-24,36.92,ES
2024-08-25,37.22,ES
2024-08-26,37.3,ES
2024-08-27,37.35,ES
2024-08-28,38.44,PT
2024-08-29,39.15,PT
2024-08-30,39.11,PT
2024-08-31,39.77,ES
2024-09-01,40.79,ES
2024-09-02,42.16,ES
2024-09-03,39.49,PT
2024-09-04,37.44,PT
2024-09-05,36.4,PT
2024-09-06,36.13,PT
2024-09-07,37.17,ES
2024-09-08,35.65,ES
2024-09-09,36.43,ES
2024-09-10,36.38,PT
2024-09-11,36.3,PT
2024-09-12,35.33,PT
2024-09-13,35.23,PT
2024-09-14,35.5,ES
2024-09-15,36.44,ES
2024-09-16,36.1,ES
2024-09-17,34.68,PT
2024-09-18,35.13,PT
2024-09-19,35.6,PT
2024-09-20,36.25,PT
2024-09-21,34.62,ES
2024-09-22,36.04,ES
2024-09-23,36.16,ES
2024-09-24,35.49,PT
2024-09-25,36.63,PT
2024-09-26,36.9,PT
2024-09-27,37.5,PT
2024-09-28,37.81,ES
2024-09-29,38.42,ES
2024-09-30,38.82,ES
2024-10-01,39.39,PT
2024-10-02,38.15,PT
2024-10-03,39.13,PT
2024-10-04,38.47,PT
2024-10-05,39.91,ES
2024-10-06,40.76,ES
2024-10-07,40.75,ES
2024-10-08,40.03,PT
2024-10-09,39.24,PT
2024-10-10,38.5,PT
2024-10-11,38.57,PT
2024-10-12,39.55,ES
2024-10-13,39.18,ES
2024-10-14,39.78,ES
2024-10-15,39.41,PT
2024-10-16,38.81,PT
2024-10-17,39.25,PT
2024-10-18,39.24,PT
2024-10-19,39.01,ES
2024-10-20,38.98,ES
2024-10-21,39.2,ES
2024-10-22,39.56,PT
2024-10-23,39.71,PT
2024-10-24,40.75,PT
2024-10-25,41.89,PT
2024-10-26,42.77,ES
2024-10-27,44.26,ES
2024-10-28,44.78,ES
2024-10-29,42.18,PT
2024-10-30,42.96,PT
2024-10-31,42.16,PT
2024-11-01,40.74,PT
2024-11-02,39.28,ES
